gen,q_value,Log2FC,sign
KRT7,0.027476888296950774,1.9084355104414965,UP
ZNF423,0.02735246778876311,1.2264635882849073,UP
MYO1F,0.027328372439942118,1.2683049428790105,UP
EGR2,0.027135914278059836,1.5868828285638368,UP
LAYN,0.027135914278059836,1.0390442505134758,UP
IL18R1,0.027135914278059836,1.2939086625728018,UP
IGKV4-1,0.026967644304647983,2.920453359716427,UP
PDGFRA,0.026948724464279813,1.0260532011870016,UP
CCL21,0.026899764065697697,2.4958170425248194,UP
APOL3,0.026740855300998907,1.1427158813381646,UP
CDK1,0.0263061024011964,1.0643139022930979,UP
AC108134.3,0.02604363371688867,1.5377298823745609,UP
MFAP4,0.02602461029069444,1.1073400030379688,UP
CSF2RB,0.026008245556900664,1.3839942701367485,UP
SUSD2,0.02592448653159892,1.5096746989366132,UP
AFAP1L2,0.025736884687019547,1.0629759991339376,UP
GZMB,0.025728585817743916,1.8654091426980355,UP
CXCL10,0.02537940741073767,3.006433394304284,UP
TESPA1,0.02537189455538225,1.5432275164829112,UP
LUM,0.025282328963338208,1.1011054027741125,UP
ACTA2,0.025272575808320426,1.0612217561775363,UP
SLFN12,0.025085193082330676,1.1867866523415156,UP
SULT1C4,0.02471747975012513,1.345646597978211,UP
AC099509.1,0.02470891884920468,1.2530765487406734,UP
COL13A1,0.024490614299609977,1.2622718618373752,UP
OAS2,0.024345088907905037,1.667549356144517,UP
ITGAM,0.024345088907905037,1.3600719231845624,UP
FCER1A,0.02407549709817587,1.4928663887422946,UP
PLAUR,0.024035559217306303,1.1515566142922598,UP
OXTR,0.023834355109315544,1.3700321237480737,UP
GBP5,0.02378790880086571,1.7436140764731223,UP
GLP2R,0.023530711670397702,1.0143300805796494,UP
,0.023488104188808968,1.1233903200113173,UP
ACSL5,0.022850872830493266,1.288727212185928,UP
LGALS3,0.022713709097864448,1.268717658938948,UP
MGP,0.022516768790454517,1.1117634740850477,UP
MSX1,0.022516768790454517,1.1017438597604607,UP
FGD5,0.021973583604037897,1.0408128777426633,UP
SCARF1,0.02169790316786325,1.105457138234988,UP
WDFY4,0.021600249658926752,1.7329636705987816,UP
CRISPLD1,0.021239485728000936,1.2290584990907445,UP
PCAT19,0.020836095769290026,1.1867601947545003,UP
,0.02052590007152122,1.3485159311172612,UP
